Sl. No.,State/UT,A. Offences under I.T. Act - Tampering Computer Source documents (Sec.65),A. Offences under I.T. Act - Computer Related Offences - Computer Related Offences (Total),A. Offences under I.T. Act - Computer Related Offences - A) Computer Related Offences (Sec.66) (Total) -,A. Offences under I.T. Act - Computer Related Offences - Computer Related Offences (Sec.66) - a1) Ransom-ware,A. Offences under I.T. Act - Computer Related Offences - Computer Related Offences (Sec.66) - a2) Offences other than Ransom-ware,A. Offences under I.T. Act - Computer Related Offences - B) Dishonesty receiving stolen computer resource or communication device (Sec.66B),A. Offences under I.T. Act - Computer Related Offences - C) Identity Theft (Sec.66C),A. Offences under I.T. Act - Computer Related Offences - D) Cheating by personation by using computer resource (Sec.66D) -,A. Offences under I.T. Act - Computer Related Offences - E) Violation of Privacy (Sec.66E) -,A. Offences under I.T. Act - Cyber Terrorism (Sec.66 F),A. Offences under I.T. Act - Publication/ transmission of obscene / sexually explicit act in electronic form (Sec. 67) - Publication/ transmission of obscene / sexually explicit act in electronic form (Total),A. Offences under I.T. Act - Publication/ transmission of obscene / sexually explicit act in electronic form (Sec. 67) - A) Publishing or transmitting obscene material in Electronic Form,A. Offences under I.T. Act - Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - B) Publishing or transmitting of material containing Sexually explicit act in electronic form (Sec.67A),A. Offences under I.T. Act - Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - C) Publishing or transmitting of material depicting children in Sexually explicit act in electronic form (Sec.67B),A. Offences under I.T. Act - Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - D) Preservation and retention of information by intermediaries (Sec.67C),A. Offences under I.T. Act - Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - E) Other sub-sections of Sec. 67 IT Act,A. Offences under I.T. Act - Interception or Monitoring or decryption of Information (Sec.69),A. Offences under I.T. Act - Un-authorized access/attempt to access to protected computer system (Sec.70),A. Offences under I.T. Act - Abetment to Commit Offences (Sec.84 B),A. Offences under I.T. Act - Attempt to Commit Offences (Sec.84C),A. Offences under I.T. Act - Other Sections of IT Act,Total Offences under I.T. Act,B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Abetment of Suicide (Online) (Sec.305/306 IPC),Cyber Stalking/ Bullying of Women/ Children (Sec.354D IPC),Data theft (Sec.379 to 381),"Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - Fraud (Sec.420 r/w Sec.465,468- 471 IPC) (Total)","Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - A) Credit Card/Debit Card","B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - B) ATMs","B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - C) Online Banking Fraud","B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - D) OTP Frauds","B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - E) Others",B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Cheating (Sec.420 IPC),"B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Forgery (Sec.465, 468 and 471)",B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Defamation/ Morphing (Sec.469 IPC r/w IPC and Indecent representation of women Act),B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fake Profile (r/w IPC/SLL),B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Counterfeiting - Counterfeiting (Total),B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Counterfeiting - A) Currency (Sec.489A to 489E),B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - CounterfeitingB) Stamps (Sec.255),"B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Cyber Blackmailing/ Threatening (Sec.506,503,384 IPC)",B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fake News on Social Media (Sec.505),B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Other Offences (r/w IT Act),Total Offences under IPC,C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Gambling Act (Online Gambling),C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Lotteries Act (Online Lotteries),"C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Copy Right Act, 1957","C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Trade Marks Act, 1999",C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT ActOther SLL Crimes,Total Offences under SLL,Total Cyber Crimes (IT Act + IPC r/w IT Act + SLL r/w IT Act),Cybercrime Share %,High Impact Crimes,Total Crime Score,High Impact Score,Cyber Threat Risk Score,Risk Level
1.0,Andhra Pradesh,2,243,5,0,5,4,65,162,7,0,111,9,23,73,0,6,0,0,0,0,6,362,3,148,1,909,48,23,395,67,376,666,3,2,2,0,0,0,20,24,200,1978,0,0,1,0,0,1,2341,2.6834943888487683,576,10.69078947368421,8.147100424328148,9.93,Low
2.0,Arunachal Pradesh,0,17,0,0,0,0,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,24,0.027511262423054437,8,0.10508040935672514,0.11315417256011315,0.11,Low
3.0,Assam,0,385,81,0,81,6,93,153,52,0,414,80,80,34,0,220,0,0,0,0,48,847,1,1,0,0,0,0,0,0,0,46,3,0,1,0,0,0,3,0,7,62,0,0,0,0,0,0,909,1.0419890642731868,93,4.148391812865497,1.3154172560113153,3.3,Low
4.0,Bihar,0,332,31,0,31,58,130,112,1,0,65,19,21,7,0,18,0,0,0,0,0,397,0,75,28,2611,643,895,408,249,416,916,63,10,64,0,0,0,79,14,192,4052,0,0,0,0,1,1,4450,5.101046574274677,1458,20.326206140350877,20.62234794908062,20.42,Low
5.0,Chhattisgarh,0,16,0,0,0,7,3,6,0,0,293,20,83,185,0,5,0,0,0,0,1,310,1,0,0,29,4,0,15,6,4,36,1,0,0,0,0,0,4,0,40,111,52,0,0,0,0,52,473,0.5422011302543646,28,2.1564327485380117,0.39603960396039606,1.63,Low
6.0,Goa,1,56,1,0,1,0,7,48,0,2,16,6,1,8,1,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,1,11,0,0,0,0,0,0,86,0.09858202368261174,7,0.3883406432748538,0.09900990099009901,0.3,Low
7.0,Gujarat,0,305,3,0,3,2,254,34,12,0,136,65,57,10,0,4,0,0,0,2,33,476,4,43,8,112,9,10,49,7,37,1034,68,0,3,0,0,0,37,0,195,1504,0,0,0,0,15,15,1995,2.2868736889164,327,9.11001461988304,4.625176803394625,7.76,Low
8.0,Haryana,0,121,11,1,10,2,61,34,13,0,198,56,111,4,0,27,0,0,0,2,4,325,1,35,0,11,0,0,3,0,8,239,44,1,1,0,0,0,7,0,65,404,0,0,0,0,22,22,751,0.8608732533214117,65,3.4265350877192984,0.9193776520509194,2.67,Low
9.0,Himachal Pradesh,0,77,2,1,1,0,4,69,2,0,24,0,22,2,0,0,0,0,0,0,0,101,0,2,0,7,0,1,0,0,6,17,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,127,0.1455804303219964,5,0.575657894736842,0.07072135785007072,0.42,Low
10.0,Jharkhand,0,966,126,20,106,140,479,161,60,0,26,6,15,0,0,5,0,0,0,0,1,993,0,7,0,43,4,9,12,18,0,17,12,0,0,0,0,0,7,0,0,86,0,0,0,0,0,0,1079,1.236860506436489,533,4.925073099415204,7.538896746817539,5.71,Low
11.0,Karnataka,7,20806,136,30,106,11,2411,18166,82,1,1007,331,261,341,4,70,0,0,0,6,43,21870,2,4,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,4,1,18,0,0,0,0,1,1,21889,25.09141763242661,2441,100.0,34.526166902404526,80.36,Critical
12.0,Kerala,3,643,14,1,13,3,76,526,24,2,432,19,85,321,2,5,0,0,0,0,9,1089,0,51,4,117,6,0,60,45,6,1719,8,0,30,0,0,0,10,0,171,2110,0,0,0,0,96,96,3295,3.777067070165182,192,15.049342105263158,2.7157001414427158,11.35,Low
13.0,Madhya Pradesh,0,191,2,1,1,1,19,159,10,0,68,23,35,5,0,5,0,1,0,1,6,267,5,68,2,91,0,3,61,10,17,78,7,4,0,0,0,0,20,4,134,413,4,0,0,0,1,5,685,0.7852172816580121,93,3.125,1.3154172560113153,2.58,Low
14.0,Maharashtra,7,746,6,2,4,8,474,248,10,0,173,91,47,20,5,10,0,0,0,0,34,960,8,411,41,2075,229,99,158,229,1360,3743,66,4,38,0,0,0,71,10,664,7131,11,0,0,0,1,12,8103,9.288489975583754,1133,37.015716374269005,16.025459688826025,30.72,Medium
15.0,Manipur,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0.0034389078028818046,0,0.009137426900584795,0.0,0.01,Low
16.0,Meghalaya,0,39,2,0,2,0,8,27,2,0,18,3,9,6,0,0,0,0,0,0,5,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,64,0.0733633664614785,8,0.287828947368421,0.11315417256011315,0.24,Low
17.0,Mizoram,0,8,1,0,1,0,7,0,0,0,23,19,0,4,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0.03553538062977865,7,0.1370614035087719,0.09900990099009901,0.13,Low
